City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
233,Guerrero Negro,MX,2022-05-23 02:39:35,27.9769,-114.0611,60.17,79,0,15.59,clear sky
234,Saint-Joseph,RE,2022-05-23 02:39:35,-21.3667,55.6167,68.38,71,18,9.31,few clouds
235,Lakes Entrance,AU,2022-05-23 02:39:36,-37.8811,147.981,58.15,62,0,5.35,clear sky
236,Santa Catalina,PH,2022-05-23 02:39:36,9.3337,122.8637,85.98,65,100,3.87,overcast clouds
237,Matara,LK,2022-05-23 02:39:37,5.9485,80.5353,82.47,81,90,11.74,overcast clouds
238,Carutapera,BR,2022-05-23 02:39:37,-1.195,-46.02,74.03,94,28,3.51,scattered clouds
239,Lufilufi,WS,2022-05-23 02:39:37,-13.8745,-171.5986,85.78,74,42,17.74,light rain
240,Fort-Shevchenko,KZ,2022-05-23 02:39:38,44.5086,50.263,61.86,63,33,18.59,scattered clouds
241,Boa Vista,BR,2022-05-23 02:39:00,2.8197,-60.6733,75.18,94,75,3.44,broken clouds
242,Laguna,US,2022-05-23 02:39:39,38.421,-121.4238,89.58,25,0,9.22,clear sky
243,Jatiroto,ID,2022-05-23 02:39:39,-7.8833,111.1167,82.65,66,13,3.33,few clouds
244,Kualakapuas,ID,2022-05-23 02:39:40,-3.0091,114.3876,88.05,60,14,5.12,few clouds
245,Ostrovnoy,RU,2022-05-23 02:39:40,68.0531,39.5131,31.06,72,63,13.53,broken clouds
246,Rio Grande,BR,2022-05-23 02:39:40,-32.035,-52.0986,57.09,84,26,8.41,scattered clouds
247,Otjimbingwe,NA,2022-05-23 02:39:41,-22.35,16.1333,54.19,43,62,7.83,broken clouds
248,Kisangani,CD,2022-05-23 02:39:41,0.5167,25.2,72.66,90,100,1.43,overcast clouds
249,Nelson Bay,AU,2022-05-23 02:39:42,-32.7167,152.15,66.09,83,100,6.6,overcast clouds
250,Westport,US,2022-05-23 02:39:40,41.1415,-73.3579,73.36,91,75,8.05,broken clouds
251,Coruripe,BR,2022-05-23 02:39:42,-10.1256,-36.1756,75.81,78,43,9.17,scattered clouds
252,Hay River,CA,2022-05-23 02:39:43,60.8156,-115.7999,40.98,60,40,9.22,scattered clouds
253,Kandava,LV,2022-05-23 02:39:43,57.0409,22.7747,42.64,71,94,2.71,overcast clouds
254,Portland,US,2022-05-23 02:37:47,45.5234,-122.6762,73.38,34,100,3.44,overcast clouds
255,San Lawrenz,MT,2022-05-23 02:39:44,36.0553,14.204,66.85,93,0,7.05,clear sky
256,Tromso,NO,2022-05-23 02:39:44,69.6496,18.957,45.37,81,75,3.44,broken clouds
257,Matagami,CA,2022-05-23 02:39:44,49.7502,-77.6328,41.11,75,100,3.44,overcast clouds
